t,MV,MVP,MVI,MVD,SP,PV,DV,Man
1.100000000000000000e+01,5.000000000000000000e+01,1.168411724467773780e+02,-6.684117244133942393e+01,-5.437954370547492288e-09,6.500000000000000000e+01,3.128000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.160788634924982858e+02,-6.607886347540757299e+01,-1.709071379696481169e-08,6.500000000000000000e+01,3.150000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.159749122714602265e+02,-6.597491226912967477e+01,-2.330552064675926330e-09,6.500000000000000000e+01,3.153000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.158363106434094760e+02,-6.583631064030207369e+01,-3.107402523580732832e-09,6.500000000000000000e+01,3.157000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.150740016891303981e+02,-6.507400167203968522e+01,-1.709071377083971163e-08,6.500000000000000000e+01,3.178999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.148314488400415883e+02,-6.483144883460363417e+01,-5.437954562131557450e-09,6.500000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.146235463979654696e+02,-6.462354639330436612e+01,-4.661103807142290518e-09,6.500000000000000000e+01,3.192000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.137226358156356412e+02,-6.372263579543752599e+01,-2.019811628571207847e-08,6.500000000000000000e+01,3.217999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.131682293034326392e+02,-6.316822929100302986e+01,-1.242961021624060701e-08,6.500000000000000000e+01,3.234000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.126138227912296799e+02,-6.261382277880007052e+01,-1.242961012915639201e-08,6.500000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.121633675000647514e+02,-6.216336748996569384e+01,-1.009905825606508298e-08,6.500000000000000000e+01,3.263000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.115050097668237186e+02,-6.150500975206355747e+01,-1.476016197612315188e-08,6.500000000000000000e+01,3.282000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.106040991844938901e+02,-6.060409916429577493e+01,-2.019811639892084428e-08,6.500000000000000000e+01,3.307999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.103961967424177715e+02,-6.039619673775666797e+01,-4.661103972601254794e-09,6.500000000000000000e+01,3.314000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.092527333109991332e+02,-5.925273328536306394e+01,-2.563607065625957241e-08,6.500000000000000000e+01,3.346999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,1.086983267987961455e+02,-5.869832678636653611e+01,-1.242961027719917271e-08,6.500000000000000000e+01,3.363000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,1.081439202865931861e+02,-5.814392027416357678e+01,-1.242961012915639366e-08,6.500000000000000000e+01,3.378999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,1.070351072621872248e+02,-5.703510723732800614e+01,-2.485922011897946408e-08,6.500000000000000000e+01,3.410999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,1.062381479008954273e+02,-5.623814788302786383e+01,-1.786756463903830107e-08,6.500000000000000000e+01,3.434000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,1.057876926097305272e+02,-5.578769259963146965e+01,-1.009905831702309778e-08,6.500000000000000000e+01,3.446999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,1.047828308063626395e+02,-5.478283078383397253e+01,-2.252866821976250906e-08,6.500000000000000000e+01,3.475999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,1.036740177819566782e+02,-5.367401775709745948e+01,-2.485922023218822989e-08,6.500000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,1.031196112697536904e+02,-5.311961125732408107e+01,-1.242961026849080878e-08,6.500000000000000000e+01,3.524000000000000199e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,1.025652047575507311e+02,-5.256520474512112173e+01,-1.242961012915639201e-08,6.500000000000000000e+01,3.539999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,1.014563917331447698e+02,-5.145639170828555109e+01,-2.485922011897946408e-08,6.500000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,1.004515299297768820e+02,-5.045152990724821507e+01,-2.252866838522147168e-08,6.500000000000000000e+01,3.600999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,1.002089770806880722e+02,-5.020897707525011811e+01,-5.437954623090126457e-09,6.500000000000000000e+01,3.607999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,9.920411527732018442e+01,-4.920411525479151749e+01,-2.252866816751230894e-08,6.500000000000000000e+01,3.636999999999999744e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,9.809530225291423733e+01,-4.809530222805501865e+01,-2.485922023218822989e-08,6.500000000000000000e+01,3.668999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,9.743694451967317605e+01,-4.743694450491301495e+01,-1.476016214158267036e-08,6.500000000000000000e+01,3.688000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,9.698648922850827603e+01,-4.698648921840921844e+01,-1.009905828218963048e-08,6.500000000000000000e+01,3.700999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,9.587767620410231473e+01,-4.587767617924309604e+01,-2.485922009285436402e-08,6.500000000000000000e+01,3.732999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,5.000000000000000000e+01,9.542722091293738629e+01,-4.542722090283832870e+01,-1.009905839539894720e-08,6.500000000000000000e+01,3.746000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,5.000000000000000000e+01,9.473421277268369067e+01,-4.473421275714667900e+01,-1.553701260048692431e-08,6.500000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,5.000000000000000000e+01,9.362539974827772937e+01,-4.362539972341851069e+01,-2.485922015381292972e-08,6.500000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,5.000000000000000000e+01,9.251658672387178228e+01,-4.251658669901256360e+01,-2.485922025831332995e-08,6.500000000000000000e+01,3.829999999999999716e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,5.000000000000000000e+01,9.196218021166879453e+01,-4.196218019923918519e+01,-1.242961026849080878e-08,6.500000000000000000e+01,3.846000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
