t,MV,MVP,MVI,MVD,SP,PV,DV,Man
1.000000000000000000e+01,5.000000000000000000e+01,1.304934328097756691e+02,-8.049343280977566906e+01,-2.786677304442320941e-16,6.500000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.304934328097756691e+02,-8.049343280977566906e+01,-3.123819011800085959e-24,6.500000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.295925222274458406e+02,-7.959252220724772542e+01,-2.019811623346187835e-08,6.500000000000000000e+01,2.760000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.293499693783570308e+02,-7.934996937291907670e+01,-5.437954596965023090e-09,6.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.292460181573189857e+02,-7.924601815498843393e+01,-2.330551934050429763e-09,6.500000000000000000e+01,2.769999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.282411563539511121e+02,-7.824115633142244519e+01,-2.252866813267828743e-08,6.500000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.274788473996719915e+02,-7.747884738258127868e+01,-1.709071398854943023e-08,6.500000000000000000e+01,2.821000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.271323433295451224e+02,-7.713234332177661656e+01,-7.768506435223421513e-09,6.500000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.261274815261772346e+02,-7.612748150364856770e+01,-2.252866819363740900e-08,6.500000000000000000e+01,2.860000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.260235303051392037e+02,-7.602353030280865198e+01,-2.330552125633941126e-09,6.500000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.248800668737205370e+02,-7.488006684808446778e+01,-2.563607063013502491e-08,6.500000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.242217091404795184e+02,-7.422170912571935730e+01,-1.476016215029048173e-08,6.500000000000000000e+01,2.914999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.237712538493145900e+02,-7.377125383921553237e+01,-1.009905828219018304e-08,6.500000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.226624408249086287e+02,-7.266244080004940997e+01,-2.485922009285436402e-08,6.500000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.217615302425788002e+02,-7.176153022238068502e+01,-2.019811651212961009e-08,6.500000000000000000e+01,2.985999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.214496765794646080e+02,-7.144967657247295278e+01,-6.991655845693118031e-09,6.500000000000000000e+01,2.994999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,1.203062131480459840e+02,-7.030621312240991472e+01,-2.563607068238466916e-08,6.500000000000000000e+01,3.028000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,1.193013513446780820e+02,-6.930135132214941507e+01,-2.252866839392983726e-08,6.500000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,1.181925383202721349e+02,-6.819253829541291623e+01,-2.485922023218823320e-08,6.500000000000000000e+01,3.089000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372527100695493e+01,-2.485922025831332995e-08,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,1.162867659345744045e+02,-6.628676591670684104e+01,-1.786756463903775182e-08,6.500000000000000000e+01,3.144000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
