t,MV,MVP,MVI,MVD,SP,PV,DV,Man
1.300000000000000000e+01,5.000000000000000000e+01,1.271323433295451224e+02,-7.713234332954512240e+01,-1.132087667620203713e-16,6.500000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.261274815261772346e+02,-7.612748150364856770e+01,-2.252866810655373993e-08,6.500000000000000000e+01,2.860000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.260235303051392037e+02,-7.602353030280865198e+01,-2.330552125633940299e-09,6.500000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.251226197228093469e+02,-7.512261970261123167e+01,-2.019811625958753427e-08,6.500000000000000000e+01,2.889000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.248800668737205370e+02,-7.488006686828258296e+01,-5.437954596965023918e-09,6.500000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.237712538493145900e+02,-7.377125382445537127e+01,-2.485922004060416721e-08,6.500000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.233207985581496757e+02,-7.332079854805061814e+01,-1.009905839539839464e-08,6.500000000000000000e+01,2.941000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.226624408249086287e+02,-7.266244081014846756e+01,-1.476016197612370609e-08,6.500000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.215536278005026816e+02,-7.155362777564346288e+01,-2.485922014510456414e-08,6.500000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.215536278005026816e+02,-7.155362780050268157e+01,-2.786677322989934235e-16,6.500000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.204448147760967487e+02,-7.044481475123753000e+01,-2.485921997964505227e-08,6.500000000000000000e+01,3.023999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.194399529727288325e+02,-6.943995295020016556e+01,-2.252866838522202092e-08,6.500000000000000000e+01,3.053000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.189894976815639325e+02,-6.898949767146487488e+01,-1.009905836927329624e-08,6.500000000000000000e+01,3.066000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
