t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,5.564855366237381418e+01,-5.648554909995916695e+00,1.247622102728462575e-06,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553662373828388e+00,1.398563672166957559e-14,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553662373814177e+00,1.567766666547132022e-22,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,5.554460244133574776e+01,-5.544602439005196004e+00,-2.330551873091861169e-09,6.500000000000000000e+01,4.896999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553664704365929e+00,2.330551846966761524e-09,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553662373814177e+00,2.612509943628911192e-17,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553662373814177e+00,2.928580290733724480e-25,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553662373814177e+00,3.282889904472750276e-33,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553662373814177e+00,3.680065101506556101e-41,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553662373814177e+00,4.125291906035306449e-49,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553662373814177e+00,4.624383765122393832e-57,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,5.564855366237381418e+01,-5.648553662373814177e+00,5.183857456448451548e-65,6.500000000000000000e+01,4.893999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,5.488624470809472200e+01,-4.886244691004008267e+00,-1.709071373600624599e-08,6.500000000000000000e+01,4.915999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,5.453974063796785998e+01,-4.539740630199353255e+00,-7.768506435223418205e-09,6.500000000000000000e+01,4.925999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,5.453974063796785998e+01,-4.539740637967859982e+00,-8.708366791144732357e-17,6.500000000000000000e+01,4.925999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,5.388138290472680580e+01,-3.881382889966643823e+00,-1.476016186291493862e-08,6.500000000000000000e+01,4.945000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
