t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,5.796000000000000085e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,5.796000000000000085e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,5.796000000000000085e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,5.796000000000000085e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,5.782999999999999829e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,5.772999999999999687e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,5.796000000000000085e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,5.796000000000000085e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,5.796000000000000085e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,5.796000000000000085e+01,5.000000000000000000e+01
1.000000000000000000e+01,7.000000000000000000e+01,5.806000000000000227e+01,5.000000000000000000e+01
1.100000000000000000e+01,7.000000000000000000e+01,5.828000000000000114e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,5.817999999999999972e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,5.814999999999999858e+01,5.000000000000000000e+01
1.400000000000000000e+01,7.000000000000000000e+01,5.809000000000000341e+01,5.000000000000000000e+01
1.500000000000000000e+01,7.000000000000000000e+01,5.802000000000000313e+01,5.000000000000000000e+01
1.600000000000000000e+01,7.000000000000000000e+01,5.799000000000000199e+01,5.000000000000000000e+01
1.700000000000000000e+01,7.000000000000000000e+01,5.806000000000000227e+01,5.000000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+01,5.811999999999999744e+01,5.000000000000000000e+01
1.900000000000000000e+01,7.000000000000000000e+01,5.817999999999999972e+01,5.000000000000000000e+01
2.000000000000000000e+01,7.000000000000000000e+01,5.828000000000000114e+01,5.000000000000000000e+01
2.100000000000000000e+01,7.000000000000000000e+01,5.828000000000000114e+01,5.000000000000000000e+01
2.200000000000000000e+01,7.000000000000000000e+01,5.828000000000000114e+01,5.000000000000000000e+01
2.300000000000000000e+01,7.000000000000000000e+01,5.853999999999999915e+01,5.000000000000000000e+01
2.400000000000000000e+01,7.000000000000000000e+01,5.860000000000000142e+01,5.000000000000000000e+01
2.500000000000000000e+01,7.000000000000000000e+01,5.864000000000000057e+01,5.000000000000000000e+01
2.600000000000000000e+01,7.000000000000000000e+01,5.892999999999999972e+01,5.000000000000000000e+01
2.700000000000000000e+01,7.000000000000000000e+01,5.892999999999999972e+01,5.000000000000000000e+01
2.800000000000000000e+01,7.000000000000000000e+01,5.925000000000000000e+01,5.000000000000000000e+01
2.900000000000000000e+01,7.000000000000000000e+01,5.928000000000000114e+01,5.000000000000000000e+01
3.000000000000000000e+01,7.000000000000000000e+01,5.953999999999999915e+01,5.000000000000000000e+01
3.100000000000000000e+01,7.000000000000000000e+01,5.957000000000000028e+01,5.000000000000000000e+01
3.200000000000000000e+01,7.000000000000000000e+01,5.989000000000000057e+01,5.000000000000000000e+01
3.300000000000000000e+01,7.000000000000000000e+01,5.999000000000000199e+01,5.000000000000000000e+01
3.400000000000000000e+01,7.000000000000000000e+01,6.021000000000000085e+01,5.000000000000000000e+01
3.500000000000000000e+01,7.000000000000000000e+01,6.040999999999999659e+01,5.000000000000000000e+01
3.600000000000000000e+01,7.000000000000000000e+01,6.053999999999999915e+01,5.000000000000000000e+01
3.700000000000000000e+01,7.000000000000000000e+01,6.060000000000000142e+01,5.000000000000000000e+01
3.800000000000000000e+01,7.000000000000000000e+01,6.085999999999999943e+01,5.000000000000000000e+01
3.900000000000000000e+01,7.000000000000000000e+01,6.085999999999999943e+01,5.000000000000000000e+01
4.000000000000000000e+01,7.000000000000000000e+01,6.085999999999999943e+01,5.000000000000000000e+01
4.100000000000000000e+01,7.000000000000000000e+01,6.117999999999999972e+01,5.000000000000000000e+01
4.200000000000000000e+01,7.000000000000000000e+01,6.125000000000000000e+01,5.000000000000000000e+01
4.300000000000000000e+01,7.000000000000000000e+01,6.150000000000000000e+01,5.000000000000000000e+01
4.400000000000000000e+01,7.000000000000000000e+01,6.150000000000000000e+01,5.000000000000000000e+01
4.500000000000000000e+01,7.000000000000000000e+01,6.163000000000000256e+01,5.000000000000000000e+01
4.600000000000000000e+01,7.000000000000000000e+01,6.182999999999999829e+01,5.000000000000000000e+01
4.700000000000000000e+01,7.000000000000000000e+01,6.214999999999999858e+01,5.000000000000000000e+01
4.800000000000000000e+01,7.000000000000000000e+01,6.214999999999999858e+01,5.000000000000000000e+01
4.900000000000000000e+01,7.000000000000000000e+01,6.228000000000000114e+01,5.000000000000000000e+01
5.000000000000000000e+01,7.000000000000000000e+01,6.246999999999999886e+01,5.000000000000000000e+01
5.100000000000000000e+01,7.000000000000000000e+01,6.250000000000000000e+01,5.000000000000000000e+01
5.200000000000000000e+01,7.000000000000000000e+01,6.278999999999999915e+01,5.000000000000000000e+01
5.300000000000000000e+01,7.000000000000000000e+01,6.278999999999999915e+01,5.000000000000000000e+01
5.400000000000000000e+01,7.000000000000000000e+01,6.311999999999999744e+01,5.000000000000000000e+01
5.500000000000000000e+01,7.000000000000000000e+01,6.311999999999999744e+01,5.000000000000000000e+01
5.600000000000000000e+01,7.000000000000000000e+01,6.336999999999999744e+01,5.000000000000000000e+01
5.700000000000000000e+01,7.000000000000000000e+01,6.343999999999999773e+01,5.000000000000000000e+01
5.800000000000000000e+01,7.000000000000000000e+01,6.343999999999999773e+01,5.000000000000000000e+01
5.900000000000000000e+01,7.000000000000000000e+01,6.353000000000000114e+01,5.000000000000000000e+01
6.000000000000000000e+01,7.000000000000000000e+01,6.375999999999999801e+01,5.000000000000000000e+01
6.100000000000000000e+01,7.000000000000000000e+01,6.375999999999999801e+01,5.000000000000000000e+01
6.200000000000000000e+01,7.000000000000000000e+01,6.401999999999999602e+01,5.000000000000000000e+01
6.300000000000000000e+01,7.000000000000000000e+01,6.407999999999999829e+01,5.000000000000000000e+01
6.400000000000000000e+01,7.000000000000000000e+01,6.423999999999999488e+01,5.000000000000000000e+01
6.500000000000000000e+01,7.000000000000000000e+01,6.440000000000000568e+01,5.000000000000000000e+01
6.600000000000000000e+01,7.000000000000000000e+01,6.443999999999999773e+01,5.000000000000000000e+01
6.700000000000000000e+01,7.000000000000000000e+01,6.468999999999999773e+01,5.000000000000000000e+01
6.800000000000000000e+01,7.000000000000000000e+01,6.473000000000000398e+01,5.000000000000000000e+01
6.900000000000000000e+01,7.000000000000000000e+01,6.492000000000000171e+01,5.000000000000000000e+01
7.000000000000000000e+01,7.000000000000000000e+01,6.504999999999999716e+01,5.000000000000000000e+01
7.100000000000000000e+01,7.000000000000000000e+01,6.507999999999999829e+01,5.000000000000000000e+01
7.200000000000000000e+01,7.000000000000000000e+01,6.504999999999999716e+01,5.000000000000000000e+01
7.300000000000000000e+01,7.000000000000000000e+01,6.473000000000000398e+01,5.000000000000000000e+01
7.400000000000000000e+01,7.000000000000000000e+01,6.501999999999999602e+01,5.000000000000000000e+01
7.500000000000000000e+01,7.000000000000000000e+01,6.504999999999999716e+01,5.000000000000000000e+01
7.600000000000000000e+01,7.000000000000000000e+01,6.504999999999999716e+01,5.000000000000000000e+01
7.700000000000000000e+01,7.000000000000000000e+01,6.537000000000000455e+01,5.000000000000000000e+01
7.800000000000000000e+01,7.000000000000000000e+01,6.546999999999999886e+01,5.000000000000000000e+01
7.900000000000000000e+01,7.000000000000000000e+01,6.568999999999999773e+01,5.000000000000000000e+01
8.000000000000000000e+01,7.000000000000000000e+01,6.568999999999999773e+01,5.000000000000000000e+01
8.100000000000000000e+01,7.000000000000000000e+01,6.598000000000000398e+01,5.000000000000000000e+01
8.200000000000000000e+01,7.000000000000000000e+01,6.601999999999999602e+01,5.000000000000000000e+01
8.300000000000000000e+01,7.000000000000000000e+01,6.601999999999999602e+01,5.000000000000000000e+01
8.400000000000000000e+01,7.000000000000000000e+01,6.634000000000000341e+01,5.000000000000000000e+01
8.500000000000000000e+01,7.000000000000000000e+01,6.634000000000000341e+01,5.000000000000000000e+01
8.600000000000000000e+01,7.000000000000000000e+01,6.634000000000000341e+01,5.000000000000000000e+01
8.700000000000000000e+01,7.000000000000000000e+01,6.634000000000000341e+01,5.000000000000000000e+01
8.800000000000000000e+01,7.000000000000000000e+01,6.640000000000000568e+01,5.000000000000000000e+01
8.900000000000000000e+01,7.000000000000000000e+01,6.650000000000000000e+01,5.000000000000000000e+01
9.000000000000000000e+01,7.000000000000000000e+01,6.662999999999999545e+01,5.000000000000000000e+01
9.100000000000000000e+01,7.000000000000000000e+01,6.665999999999999659e+01,5.000000000000000000e+01
9.200000000000000000e+01,7.000000000000000000e+01,6.665999999999999659e+01,5.000000000000000000e+01
9.300000000000000000e+01,7.000000000000000000e+01,6.689000000000000057e+01,5.000000000000000000e+01
9.400000000000000000e+01,7.000000000000000000e+01,6.698000000000000398e+01,5.000000000000000000e+01
9.500000000000000000e+01,7.000000000000000000e+01,6.723999999999999488e+01,5.000000000000000000e+01
9.600000000000000000e+01,7.000000000000000000e+01,6.729999999999999716e+01,5.000000000000000000e+01
9.700000000000000000e+01,7.000000000000000000e+01,6.753000000000000114e+01,5.000000000000000000e+01
9.800000000000000000e+01,7.000000000000000000e+01,6.762999999999999545e+01,5.000000000000000000e+01
9.900000000000000000e+01,7.000000000000000000e+01,6.762999999999999545e+01,5.000000000000000000e+01
1.000000000000000000e+02,7.000000000000000000e+01,6.784999999999999432e+01,5.000000000000000000e+01
1.010000000000000000e+02,7.000000000000000000e+01,6.795000000000000284e+01,5.000000000000000000e+01
1.020000000000000000e+02,7.000000000000000000e+01,6.798000000000000398e+01,5.000000000000000000e+01
1.030000000000000000e+02,7.000000000000000000e+01,6.807999999999999829e+01,5.000000000000000000e+01
1.040000000000000000e+02,7.000000000000000000e+01,6.826999999999999602e+01,5.000000000000000000e+01
1.050000000000000000e+02,7.000000000000000000e+01,6.826999999999999602e+01,5.000000000000000000e+01
1.060000000000000000e+02,7.000000000000000000e+01,6.826999999999999602e+01,5.000000000000000000e+01
1.070000000000000000e+02,7.000000000000000000e+01,6.826999999999999602e+01,5.000000000000000000e+01
1.080000000000000000e+02,7.000000000000000000e+01,6.826999999999999602e+01,5.000000000000000000e+01
1.090000000000000000e+02,7.000000000000000000e+01,6.826999999999999602e+01,5.000000000000000000e+01
1.100000000000000000e+02,7.000000000000000000e+01,6.826999999999999602e+01,5.000000000000000000e+01
